# 20150425_M7.8_Gorkha median gmf, Stations:All, gmlt:Adjusted, Rupture:Stevens
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,AtkinsonMacias2009NSHMP2014.NRCan15SiteTerm,Kanno2006Shallow,ZhaoEtAl2006SInter
t_0,82.93477,27.03676,0.1054834,0.15888172,0.081897296,0.32602677,0.17960086
t_1,82.93477,27.11675,0.117473476,0.16666555,0.087066285,0.39996624,0.20510505
t_10,82.93477,27.83404,0.10955091,0.2003068,0.12915985,0.31982306,0.23037897
t_100,83.20426,27.59546,0.18330619,0.26018894,0.16921197,0.74694693,0.37202024
t_1000,85.80938,27.67504,0.9534011,0.50634414,1.0901067,0.9993091,1.0075547
t_1001,85.80938,27.75457,0.9187281,0.5506522,1.046222,0.8701738,0.90602034
t_1002,85.80938,27.83404,0.8020598,0.5081724,1.0074389,0.94833744,0.93530583
t_1003,85.80938,27.91345,0.78159773,0.43318716,1.1380695,1.1535809,1.1137109
t_1004,85.80938,27.9928,0.7711249,0.3800508,1.2612537,1.3256513,1.2597321
t_1005,85.80938,28.07209,0.7682182,0.3446331,1.3384316,1.4840755,1.3502026
t_1006,85.80938,28.15132,0.7294339,0.32072082,1.3683294,1.4940733,1.3892457
t_1007,85.80938,28.2305,0.701712,0.30461746,1.3653115,1.5116719,1.3938872
t_1008,85.80938,28.30962,0.6749127,0.293921,1.3446656,1.5081555,1.380546
t_1009,85.80938,28.38867,0.6750391,0.4353107,1.3139108,1.6639262,1.3572942
t_101,83.20426,27.67504,0.18270293,0.26903328,0.17844445,0.702481,0.39161122
t_1010,85.80938,28.46767,0.6594564,0.42764658,1.2571653,2.0272636,1.6558359
t_1011,85.80938,28.54661,0.5852553,0.41771117,1.0871652,1.9812179,1.4837718
t_1012,85.80938,28.6255,0.44550064,0.26480973,0.8802619,1.1718787,1.0121282
t_1013,85.80938,28.70432,0.42258558,0.38891152,0.6980803,1.439477,1.0896384
t_1014,85.80938,28.78308,0.37727675,0.41622368,0.555759,1.8895545,0.9418308
t_1015,85.80938,28.86178,0.30552158,0.3510516,0.44856447,1.0379674,0.8014193
t_1016,85.80938,28.94043,0.27626514,0.32970798,0.36801162,0.9990025,0.6944613
t_1017,85.80938,29.01901,0.2181571,0.3087739,0.306874,0.6980414,0.48012924
t_1018,85.80938,29.09753,0.1733909,0.18635198,0.25964892,0.5178836,0.42172274
t_1019,85.80938,29.176,0.15714562,0.17400585,0.22255303,0.4712326,0.3725477
t_102,83.20426,27.75457,0.14618835,0.24564138,0.18578526,0.4480718,0.31861305
t_1020,85.80938,29.2544,0.14177084,0.16240409,0.19294633,0.42356062,0.33079988
