# 20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Stevens
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,AtkinsonMacias2009NSHMP2014.NRCan15SiteTerm,Kanno2006Shallow,ZhaoEtAl2006SInter
t_0,82.93477,27.03676,0.07609295,0.07351883,0.016163722,0.07202248,0.048948903
t_1,82.93477,27.11675,0.08457609,0.07681779,0.017170507,0.08770135,0.05564483
t_10,82.93477,27.83404,0.07620323,0.08770312,0.024936652,0.06415765,0.059023257
t_100,83.20426,27.59546,0.12885553,0.11549235,0.032990668,0.15371841,0.0970244
t_1000,85.80938,27.67504,0.6780775,0.12406441,0.34274614,0.40662774,0.47589126
t_1001,85.80938,27.75457,0.63207775,0.12381588,0.33402655,0.37171283,0.45859438
t_1002,85.80938,27.83404,0.601948,0.12353411,0.3246727,0.36157125,0.4420609
t_1003,85.80938,27.91345,0.5752501,0.12323675,0.31536227,0.3522264,0.4271161
t_1004,85.80938,27.9928,0.55122995,0.12292384,0.30613145,0.3435114,0.41342184
t_1005,85.80938,28.07209,0.53836596,0.12257949,0.29658377,0.34565997,0.40016943
t_1006,85.80938,28.15132,0.5067471,0.12220437,0.28684148,0.32653803,0.38740107
t_1007,85.80938,28.2305,0.48632175,0.12179967,0.27702412,0.31835186,0.37514812
t_1008,85.80938,28.30962,0.46766886,0.12138063,0.2675398,0.31064337,0.36378086
t_1009,85.80938,28.38867,0.46783927,0.18354179,0.25824183,0.33804074,0.35299942
t_101,83.20426,27.67504,0.12770912,0.11849189,0.03463476,0.14262213,0.10120231
t_1010,85.80938,28.46767,0.45705017,0.1826498,0.24516599,0.40827054,0.4270825
t_1011,85.80938,28.54661,0.40557465,0.17980146,0.21095899,0.39678818,0.38069305
t_1012,85.80938,28.6255,0.30867526,0.11451325,0.17027588,0.23388307,0.25882888
t_1013,85.80938,28.70432,0.29275477,0.16863368,0.13477479,0.28667724,0.27808782
t_1014,85.80938,28.78308,0.26133767,0.18075868,0.10717279,0.37582812,0.24007374
t_1015,85.80938,28.86178,0.21161808,0.1525929,0.086441815,0.20629229,0.20413607
t_1016,85.80938,28.94043,0.19134538,0.14338942,0.07089021,0.19846009,0.17681801
t_1017,85.80938,29.01901,0.15109506,0.13432488,0.05909961,0.13863626,0.12221719
t_1018,85.80938,29.09753,0.120088436,0.08108174,0.049998157,0.102840595,0.107335106
t_1019,85.80938,29.176,0.10883634,0.07571719,0.042851765,0.09356899,0.09481196
t_102,83.20426,27.75457,0.10185065,0.10768772,0.035971265,0.0902605,0.0819078
t_1020,85.80938,29.2544,0.098187655,0.070672624,0.037149556,0.08409924,0.084183656
t_1021,85.80938,29.33275,0.09019491,0.06596048,0.0325303,0.07713674,0.07508981
t_1022,85.80938,29.41103,0.09001442,0.095376246,0.028738633,0.080109425,0.084902085
t_1023,85.89921,27.03676,0.18707636,0.14743167,0.07718442,0.17353049,0.14905481
t_1024,85.89921,27.11675,0.21672095,0.15733476,0.096473195,0.19477494,0.17477193
t_1025,85.89921,27.19668,0.27941054,0.16597754,0.12362616,0.2872807,0.2620722
t_1026,85.89921,27.27655,0.31432945,0.17381415,0.1624957,0.2569462,0.25055623
t_1027,85.89921,27.35636,0.38075876,0.11857084,0.21739052,0.27141267,0.30835766
t_1028,85.89921,27.43612,0.5059155,0.1221889,0.28645352,0.32620975,0.38690606
t_1029,85.89921,27.51582,0.6687871,0.12409547,0.34386882,0.3835308,0.47828734
t_103,83.20426,27.83404,0.094664775,0.07043326,0.036899697,0.07995937,0.08370346
t_1030,85.89921,27.59546,0.68963516,0.12422813,0.3487496,0.38999635,0.48926148
t_1031,85.89921,27.67504,0.6681727,0.18757606,0.34063983,0.4807914,0.5952252
t_1032,85.89921,27.75457,0.6242078,0.123747244,0.33169785,0.36910358,0.4543088
t_1033,85.89921,27.83404,0.59480935,0.12345934,0.32227924,0.35910654,0.43809256
t_1034,85.89921,27.91345,0.5690236,0.123160064,0.31304818,0.34999606,0.42358935
t_1035,85.89921,27.9928,0.5445691,0.12282846,0.3034255,0.34104058,0.40958118
t_1036,85.89921,28.07209,0.5214991,0.12246562,0.29355693,0.3322927,0.39612886
t_1037,85.89921,28.15132,0.5003742,0.12208372,0.28384283,0.3240116,0.38359934
t_1038,85.89921,28.2305,0.48084995,0.121681936,0.27429274,0.3161142,0.37183145
t_1039,85.89921,28.30962,0.4830514,0.18396814,0.26499593,0.35419297,0.36079863
t_104,83.20426,27.91345,0.09555863,0.07085657,0.037342753,0.08078776,0.084554076
t_1040,85.89921,28.38867,0.45852065,0.12081666,0.2557459,0.3214716,0.3501572
t_1041,85.89921,28.46767,0.443509,0.1820861,0.23755948,0.37698406,0.4165538
t_1042,85.89921,28.54661,0.38170972,0.17865105,0.19964522,0.32507423,0.36569396
t_1043,85.89921,28.6255,0.3332686,0.17334887,0.1595959,0.34374818,0.31238097
t_1044,85.89921,28.70432,0.28552857,0.1666527,0.1263043,0.30241624,0.2659629
t_1045,85.89921,28.78308,0.25291768,0.17838237,0.100797065,0.31037894,0.23002958
t_1046,85.89921,28.86178,0.18728335,0.15004377,0.081679545,0.16614842,0.15527678
t_1047,85.89921,28.94043,0.1696668,0.14085366,0.06729833,0.158395,0.13477907
t_1048,85.89921,29.01901,0.15958588,0.13185413,0.056334168,0.1600039,0.14871922
t_1049,85.89921,29.09753,0.12376825,0.12322094,0.04783795,0.1098403,0.10363468
t_105,83.20426,27.9928,0.10715087,0.10962461,0.03726178,0.09673185,0.08439892
t_1050,85.89921,29.176,0.11299044,0.1150487,0.041139256,0.101220764,0.09168403
t_1051,85.89921,29.2544,0.09600909,0.06933065,0.035770766,0.08231513,0.081517644
t_1052,85.89921,29.33275,0.08521136,0.06471191,0.031404085,0.071458094,0.07279958
t_1053,85.89921,29.41103,0.10118661,0.09358086,0.027805923,0.09952362,0.08239874
t_1054,85.98904,27.03676,0.19773033,0.14922626,0.08023314,0.18923354,0.19351238
t_1055,85.98904,27.11675,0.2171477,0.15922041,0.10135776,0.18677498,0.18092535
t_1056,85.98904,27.19668,0.2727034,0.16787559,0.13141915,0.23807865,0.21650796
t_1057,85.98904,27.27655,0.32503605,0.11496928,0.17459597,0.25164986,0.2633957
t_1058,85.98904,27.35636,0.4079842,0.11963475,0.2340642,0.28433627,0.32618234
t_1059,85.98904,27.43612,0.5627646,0.18605214,0.3038942,0.37953663,0.41024134
t_106,83.20426,28.07209,0.09689326,0.07020721,0.03666532,0.082765825,0.083251856
t_1060,85.98904,27.51582,0.6959144,0.124264814,0.3501247,0.3919104,0.492538
t_1061,85.98904,27.59546,0.6794655,0.124165565,0.34643027,0.38686392,0.4839268
t_1062,85.98904,27.67504,0.6630118,0.18748645,0.33822718,0.4236274,0.46665922
t_1063,85.98904,27.75457,0.61609566,0.12367293,0.32921353,0.36638498,0.44986716
t_1064,85.98904,27.83404,0.60686475,0.18676485,0.32001188,0.44417143,0.43441778
t_1065,85.98904,27.91345,0.5628081,0.1230805,0.31068343,0.34774974,0.42005283
t_1066,85.98904,27.9928,0.5386652,0.122740544,0.30097347,0.3388303,0.40616092
t_1067,85.98904,28.07209,0.51582193,0.122367956,0.29100996,0.3300933,0.3927819
t_1068,85.98904,28.15132,0.49483842,0.12197486,0.2811905,0.32179677,0.3802814
t_1069,85.98904,28.2305,0.4756828,0.12156688,0.2716745,0.31398323,0.36868587
t_107,83.20426,28.15132,0.10041205,0.10712832,0.035607092,0.08855062,0.08119851
t_1070,85.98904,28.30962,0.45757386,0.12113172,0.2622049,0.30637452,0.3575556
t_1071,85.98904,28.38867,0.4568181,0.1831969,0.25302464,0.32858053,0.34708083
t_1072,85.98904,28.46767,0.41993418,0.18133877,0.22816515,0.32573453,0.31983095
t_1073,85.98904,28.54661,0.36255246,0.1773503,0.18817872,0.30732167,0.2776726
t_1074,85.98904,28.6255,0.3052112,0.17161267,0.14956307,0.27041966,0.29870433
t_1075,85.98904,28.70432,0.24038757,0.10682815,0.118445925,0.19948426,0.20157129
t_1076,85.98904,28.78308,0.22625871,0.15663603,0.09488727,0.22015767,0.2180717
t_1077,85.98904,28.86178,0.188809,0.14747654,0.0772586,0.1768087,0.14915878
t_1078,85.98904,28.94043,0.15747559,0.13832071,0.06395049,0.14224628,0.12973638
t_1079,85.98904,29.01901,0.13026911,0.08355486,0.05375673,0.11287658,0.11361319
t_108,83.20426,28.2305,0.09841108,0.10519256,0.0343753,0.08686919,0.0787782
t_1080,85.98904,29.09753,0.13067797,0.12089573,0.045814622,0.1236111,0.1263689
t_1081,85.98904,29.176,0.09991448,0.07286615,0.039522894,0.0847989,0.0886824
t_1082,85.98904,29.2544,0.0929933,0.068009205,0.034463707,0.07934195,0.07895301
t_1083,85.98904,29.33275,0.091073,0.09832496,0.030332657,0.08016907,0.07059238
t_1084,85.98904,29.41103,0.084678344,0.09181789,0.0269165,0.07411898,0.063359775
t_1085,86.07887,27.03676,0.1892947,0.14937901,0.08050058,0.17172304,0.15365978
t_1086,86.07887,27.11675,0.21988639,0.1593813,0.10180871,0.19096115,0.1814872
