# 20150425_M7.8_Gorkha median gmf, Stations:None, gmlt:Adjusted, Rupture:Yagi
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,AtkinsonMacias2009NSHMP2014.NRCan15SiteTerm,Kanno2006Shallow,YoungsEtAl1997SInter,ZhaoEtAl2006SInter
t_0,82.93477,27.03676,0.08299253,0.08326546,0.015819157,0.0749001,0.07983767,0.05076924
t_1,82.93477,27.11675,0.09046511,0.08560488,0.016444081,0.089053795,0.08216746,0.05644988
t_10,82.93477,27.83404,0.0674579,0.08334529,0.018692944,0.050779317,0.09021253,0.04732452
t_100,83.20426,27.59546,0.1208621,0.11509088,0.026126934,0.13190663,0.11364301,0.083601095
t_1000,85.80938,27.67504,0.65936196,0.1311085,0.3083533,0.39278105,0.2645118,0.4486224
t_1001,85.80938,27.75457,0.6072728,0.13072042,0.29637927,0.35653508,0.25814,0.42875528
t_1002,85.80938,27.83404,0.5722738,0.13028172,0.28394115,0.34445417,0.25190416,0.41008794
t_1003,85.80938,27.91345,0.5403451,0.1297944,0.27131623,0.33288497,0.24583131,0.39260182
t_1004,85.80938,27.9928,0.5115308,0.12926708,0.25887698,0.32195726,0.24000221,0.37642413
t_1005,85.80938,28.07209,0.49539098,0.12871684,0.24706633,0.32186162,0.2345427,0.36178187
t_1006,85.80938,28.15132,0.44941574,0.12775606,0.22883709,0.29664463,0.22614212,0.3401572
t_1007,85.80938,28.2305,0.38508007,0.12540448,0.19372538,0.2674932,0.2095336,0.30034843
t_1008,85.80938,28.30962,0.32160142,0.12180751,0.15643638,0.235178,0.19026542,0.25846797
t_1009,85.80938,28.38867,0.28389212,0.1786444,0.1248885,0.22869456,0.26137713,0.22147675
t_101,83.20426,27.67504,0.11581008,0.1153789,0.026241701,0.11769712,0.11397241,0.08394131
t_1010,85.80938,28.46767,0.26207614,0.17164679,0.10037425,0.24925108,0.23762968,0.2404767
t_1011,85.80938,28.54661,0.23244527,0.16404095,0.081796594,0.23283118,0.21625775,0.20815173
t_1012,85.80938,28.6255,0.16856673,0.10065077,0.06768394,0.13709854,0.12557663,0.14366801
t_1013,85.80938,28.70432,0.1771836,0.14697677,0.05685126,0.17049854,0.18027407,0.15904501
t_1014,85.80938,28.78308,0.18026072,0.1551838,0.048437145,0.22804789,0.16530852,0.14191589
t_1015,85.80938,28.86178,0.13870509,0.12996146,0.04176329,0.12781414,0.1519883,0.12451639
t_1016,85.80938,28.94043,0.13166365,0.12200865,0.036388654,0.12544867,0.140103,0.1109655
t_1017,85.80938,29.01901,0.105416805,0.114463985,0.03198742,0.089231275,0.12943822,0.0786293
t_1018,85.80938,29.09753,0.08585468,0.06932439,0.02835188,0.06730049,0.07247257,0.07059837
t_1019,85.80938,29.176,0.08011731,0.06503402,0.025313953,0.062169738,0.06676135,0.06360072
t_102,83.20426,27.75457,0.08836015,0.10256291,0.026121609,0.07173183,0.11362771,0.06548805
t_1020,85.80938,29.2544,0.07417851,0.061025348,0.022749502,0.056657415,0.061653443,0.057471745
t_1021,85.80938,29.33275,0.069764644,0.05728949,0.02056651,0.052635167,0.05707584,0.052082665
t_1022,85.80938,29.41103,0.07132764,0.08333824,0.018690584,0.055305853,0.09020435,0.059733927
