# 20150425_M7.8_Gorkha median gmf, Stations:All, gmlt:Adjusted, Rupture:Yagi
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,AtkinsonMacias2009NSHMP2014.NRCan15SiteTerm,Kanno2006Shallow,YoungsEtAl1997SInter,ZhaoEtAl2006SInter
t_0,82.93477,27.03676,0.07921901,0.12181069,0.058621656,0.1383482,0.10184588,0.09358176
t_1,82.93477,27.11675,0.08650491,0.12571278,0.060983833,0.16535053,0.10513084,0.10438321
t_10,82.93477,27.83404,0.06598436,0.12741731,0.06989909,0.0992409,0.11924133,0.09009055
t_100,83.20426,27.59546,0.11725017,0.17393418,0.09696329,0.253228,0.14866228,0.15721507
t_1000,85.80938,27.67504,0.8396116,0.46431023,0.9623381,0.7670257,0.5496771,0.81077784
t_1001,85.80938,27.75457,0.843029,0.5193894,0.960541,0.7252545,0.58278453,0.78178716
t_1002,85.80938,27.83404,0.69463575,0.45554358,0.8649729,0.6908693,0.5352539,0.7243934
t_1003,85.80938,27.91345,0.6122291,0.3597084,0.8753398,0.67731965,0.46213692,0.7235789
t_1004,85.80938,27.9928,0.55636996,0.29746544,0.8858109,0.6571532,0.40775904,0.7123174
t_1005,85.80938,28.07209,0.52370024,0.259037,0.8802218,0.654915,0.36910772,0.6939415
t_1006,85.80938,28.15132,0.46431646,0.23399964,0.83359647,0.5988871,0.3361694,0.65462893
t_1007,85.80938,28.2305,0.39073327,0.2153685,0.71358335,0.5353301,0.29903233,0.5771382
t_1008,85.80938,28.30962,0.32212427,0.20046261,0.5795653,0.467329,0.26411137,0.4954248
t_1009,85.80938,28.38867,0.28193456,0.2860812,0.46426,0.45225826,0.35636687,0.4237032
t_101,83.20426,27.67504,0.11284362,0.1755061,0.097708866,0.22802217,0.14993262,0.15879858
t_1010,85.80938,28.46767,0.25889388,0.27024207,0.3739627,0.4914628,0.32038465,0.45952547
t_1011,85.80938,28.54661,0.22890055,0.25561348,0.3052102,0.45831817,0.2896032,0.39752504
t_1012,85.80938,28.6255,0.16569294,0.15587384,0.25280765,0.26962435,0.16749373,0.27430266
t_1013,85.80938,28.70432,0.17398047,0.22679396,0.21248572,0.33514348,0.23988606,0.30362812
t_1014,85.80938,28.78308,0.17689605,0.23895332,0.18111147,0.44814533,0.21967329,0.27091542
t_1015,85.80938,28.86178,0.13606952,0.19987187,0.15619585,0.25113502,0.20181452,0.2376957
t_1016,85.80938,28.94043,0.12913655,0.18750945,0.13611431,0.24646679,0.18594933,0.2118259
t_1017,85.80938,29.01901,0.10338183,0.17584379,0.11966117,0.17530282,0.17175052,0.15009747
t_1018,85.80938,29.09753,0.08419186,0.10647429,0.10606603,0.13221422,0.09614913,0.13476658
t_1019,85.80938,29.176,0.07856266,0.09987175,0.09470344,0.122132726,0.08856466,0.12140832
t_102,83.20426,27.75457,0.08632645,0.15662529,0.097447075,0.13971862,0.14998332,0.12432163
t_1020,85.80938,29.2544,0.07273753,0.09370877,0.085110664,0.111302696,0.08178469,0.109708436
t_1021,85.80938,29.33275,0.06840856,0.08796841,0.07694424,0.103400484,0.07571034,0.09942103
t_1022,85.80938,29.41103,0.06994068,0.12796342,0.06992625,0.108646624,0.11965304,0.1140265
t_1023,85.89921,27.03676,0.37722045,0.35616606,0.45568198,0.4443827,0.38452467,0.40613687
t_1024,85.89921,27.11675,0.40995857,0.40144086,0.43529314,0.42301017,0.41139904,0.40602943
t_1025,85.89921,27.19668,0.4515815,0.4531504,0.45139894,0.4540096,0.45297998,0.45316443
t_1026,85.89921,27.27655,0.81748825,1.0715485,0.7857001,0.90453565,1.094008,0.8106247
t_1027,85.89921,27.35636,0.756681,0.49090126,0.7669028,0.71493596,0.59113294,0.76500607
t_1028,85.89921,27.43612,0.70895505,0.42123288,0.78119,0.6705848,0.5263344,0.73230594
t_1029,85.89921,27.51582,0.70831144,0.40591773,0.8227494,0.67009157,0.5122567,0.7392551
t_103,83.20426,27.83404,0.077765755,0.10058746,0.09625345,0.11986039,0.08947029,0.12302528
t_1030,85.89921,27.59546,0.74240285,0.45192462,0.86997235,0.70553887,0.5503207,0.7705353
t_1031,85.89921,27.67504,0.75064427,0.72608745,0.85693425,0.8891084,0.8233409,0.95057106
t_1032,85.89921,27.75457,0.6691492,0.42992932,0.8217674,0.6547937,0.50765944,0.696768
t_1033,85.89921,27.83404,0.6123904,0.36208868,0.8362128,0.6426069,0.4555547,0.6863831
t_1034,85.89921,27.91345,0.564135,0.30449817,0.86080134,0.638954,0.4098644,0.6910927
t_1035,85.89921,27.9928,0.52477056,0.2647074,0.8729073,0.6292897,0.37381807,0.6877891
t_1036,85.89921,28.07209,0.49081796,0.23901795,0.86568666,0.61349875,0.34661517,0.6741461
t_1037,85.89921,28.15132,0.43809843,0.22122191,0.8006184,0.575104,0.3181526,0.6282112
t_1038,85.89921,28.2305,0.3675021,0.20694135,0.6746148,0.51264524,0.28489283,0.5509538
t_1039,85.89921,28.30962,0.32327142,0.29543594,0.5452408,0.51416826,0.3831673,0.473285
t_104,83.20426,27.91345,0.07649005,0.099466495,0.09423537,0.11752822,0.08815294,0.12067749
t_1040,85.89921,28.38867,0.26312116,0.1833705,0.43712178,0.4157527,0.22532721,0.40569243
t_1041,85.89921,28.46767,0.24331208,0.26519957,0.35319677,0.44555637,0.3106965,0.44102028
t_1042,85.89921,28.54661,0.20715165,0.2512548,0.2893801,0.37419382,0.28152952,0.3823317
t_1043,85.89921,28.6255,0.19577742,0.23707992,0.24069798,0.39759162,0.25616673,0.33373433
t_1044,85.89921,28.70432,0.17494674,0.22277784,0.20306504,0.35546175,0.23395488,0.29313853
t_1045,85.89921,28.78308,0.16643573,0.23466423,0.17352627,0.3720465,0.21438107,0.26178628
t_1046,85.89921,28.86178,0.11952661,0.19622232,0.1500033,0.20317632,0.19705509,0.1820869
t_1047,85.89921,28.94043,0.113384776,0.18403007,0.13099647,0.19741957,0.1816486,0.16238348
t_1048,85.89921,29.01901,0.111513935,0.17261729,0.115489565,0.20306967,0.16794717,0.18363026
t_1049,85.89921,29.09753,0.08775077,0.16193727,0.102642894,0.14175211,0.15568237,0.13079609
