# 20180618_M5.5_Osaka median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014,ZhaoEtAl2016SInter
m_1,135.6015,34.8358,0.51622826,0.81036925,0.91358036,0.6684652,0.5225062,0.5795105,0.6582459
m_16,135.4916,34.7461,0.28945306,0.37450576,0.36166117,0.3294782,0.29104432,0.310719,0.34080508
m_18,135.38239999999996,34.7465,0.22944489,0.26675016,0.24501434,0.25023094,0.21870987,0.24061607,0.24652272
m_2,135.71090000000004,34.8352,0.37540978,0.3371311,0.4053134,0.44500843,0.36936858,0.3793634,0.3787584
m_21,135.7101,34.745,0.14249702,0.1401155,0.11224214,0.12990241,0.16156398,0.13742653,0.12869881
m_22,135.8211,34.9247,0.14227197,0.1323804,0.12015622,0.12353903,0.16449313,0.13650393,0.14428328
m_23,135.5996,34.5653,0.1052906,0.1129938,0.106334426,0.119283624,0.09667978,0.10889762,0.07967432
m_24,135.8202,34.8345,0.18547748,0.17632759,0.1980537,0.18271974,0.18386029,0.18760838,0.19592871
m_26,135.27279999999996,34.6566,0.097966254,0.0893449,0.11783445,0.094715044,0.09780911,0.095807366,0.12801126
m_34,135.49109999999996,34.6559,0.20405331,0.22492976,0.21666482,0.21777318,0.19583839,0.21127427,0.20932807
m_35,135.70929999999998,34.6549,0.18060009,0.17347589,0.18336838,0.17601044,0.17983499,0.18030429,0.19199604
m_39,135.382,34.6563,0.16748604,0.16455878,0.17124772,0.16559961,0.16831198,0.16657244,0.17511044
m_40,135.8193,34.7443,0.18634605,0.1844378,0.20600887,0.19044864,0.172183,0.18968242,0.18086259
m_41,135.60019999999997,34.6554,0.19965298,0.23222643,0.23436269,0.21963942,0.19276665,0.21087565,0.20016049
m_42,135.2731,34.7468,0.10351917,0.09581605,0.0914312,0.09505427,0.112508096,0.09998001,0.124455616
m_43,135.0546,34.6569,0.05597366,0.053473253,0.0654431,0.0539113,0.057691205,0.05519319,0.07328005
m_45,135.1637,34.6568,0.0921267,0.0883505,0.09505692,0.10119149,0.07685863,0.09507869,0.060372025
m_5,135.49220000000003,34.8363,0.46419615,0.41869572,0.48709887,0.434868,0.46965888,0.46881807,0.52012676
m_50,135.7124,35.0155,0.1987358,0.18830518,0.21124665,0.1914913,0.20650803,0.1968449,0.21651801
m_52,135.81849999999997,34.6542,0.16779797,0.16855897,0.17737211,0.17390426,0.15741816,0.16929308,0.15711978
m_53,135.49059999999997,34.5658,0.12441866,0.11446221,0.1223618,0.1177725,0.12333597,0.1210195,0.1000129
m_56,135.9316,35.0141,0.09999646,0.099401616,0.106738165,0.10630527,0.09338357,0.10181659,0.09090341
m_61,135.822,35.0148,0.12097807,0.11849338,0.11831711,0.1170834,0.12448003,0.1194332,0.12507042
m_67,135.1639,34.747,0.06769979,0.06367951,0.06399316,0.06435059,0.06991142,0.066036135,0.071958326
m_7,135.60090000000002,34.7456,0.322374,0.4747747,0.5248066,0.3976985,0.32660386,0.35966054,0.3974867
m_9,135.7117,34.9254,0.3844654,0.34197125,0.40516627,0.36527994,0.38886598,0.3816614,0.40403894
s_0,135.5958,34.8573,0.8104,0.8104,0.8104,0.8104,0.8104,0.8104,0.8104
s_10,135.72720000000004,34.7154,0.25286,0.25286,0.25286,0.25286,0.25286,0.25286,0.25286
s_100,136.4996,34.2777,0.0265,0.0265,0.0265,0.0265,0.0265,0.0265,0.0265
s_101,135.19600000000003,35.5354,0.02642,0.02642,0.02642,0.02642,0.02642,0.02642,0.02642
s_102,134.55200000000002,34.9959,0.0251,0.0251,0.0251,0.0251,0.0251,0.0251,0.0251
s_103,136.8639,34.9965,0.02503,0.02503,0.02503,0.02503,0.02503,0.02503,0.02503
s_104,135.75189999999998,35.4965,0.02458,0.02458,0.02458,0.02458,0.02458,0.02458,0.02458
s_105,134.6098,34.203,0.02384,0.02384,0.02384,0.02384,0.02384,0.02384,0.02384
s_106,135.1827,35.2759,0.02375,0.02375,0.02375,0.02375,0.02375,0.02375,0.02375
s_107,135.7552,33.938,0.02283,0.02283,0.02283,0.02283,0.02283,0.02283,0.02283
s_108,136.17430000000002,35.9067,0.02211,0.02211,0.02211,0.02211,0.02211,0.02211,0.02211
s_109,136.01369999999997,36.0386,0.02188,0.02188,0.02188,0.02188,0.02188,0.02188,0.02188
s_11,135.2713,34.9515,0.21038,0.21038,0.21038,0.21038,0.21038,0.21038,0.21038
s_110,134.79250000000002,34.4149,0.0218,0.0218,0.0218,0.0218,0.0218,0.0218,0.0218
s_111,134.33860000000004,35.1737,0.02159,0.02159,0.02159,0.02159,0.02159,0.02159,0.02159
s_112,135.11599999999999,34.0996,0.02132,0.02132,0.02132,0.02132,0.02132,0.02132,0.02132
s_113,135.90840000000003,35.5479,0.02067,0.02067,0.02067,0.02067,0.02067,0.02067,0.02067
s_114,134.6284,35.6411,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055,0.02055
s_115,136.0575,35.6447,0.02048,0.02048,0.02048,0.02048,0.02048,0.02048,0.02048
s_116,134.66520000000003,35.3326,0.02032,0.02032,0.02032,0.02032,0.02032,0.02032,0.02032
s_117,134.39,34.7551,0.01996,0.01996,0.01996,0.01996,0.01996,0.01996,0.01996
s_118,136.75,35.2976,0.01974,0.01974,0.01974,0.01974,0.01974,0.01974,0.01974
s_119,133.73109999999997,35.1702,0.01937,0.01937,0.01937,0.01937,0.01937,0.01937,0.01937
s_12,135.80470000000003,34.8784,0.19909,0.19909,0.19909,0.19909,0.19909,0.19909,0.19909
s_120,133.9067,34.654,0.01933,0.01933,0.01933,0.01933,0.01933,0.01933,0.01933
s_121,134.90139999999997,34.3405,0.01896,0.01896,0.01896,0.01896,0.01896,0.01896,0.01896
s_122,137.14639999999997,35.0812,0.01838,0.01838,0.01838,0.01838,0.01838,0.01838,0.01838
s_123,135.4305,34.2755,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821
s_124,134.2804,34.5452,0.01781,0.01781,0.01781,0.01781,0.01781,0.01781,0.01781
s_125,134.005,35.0684,0.01745,0.01745,0.01745,0.01745,0.01745,0.01745,0.01745
s_126,136.3154,36.3028,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737,0.01737
s_127,136.1565,36.2193,0.01724,0.01724,0.01724,0.01724,0.01724,0.01724,0.01724
s_128,136.9087,34.7788,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697,0.01697
s_129,134.1884,34.7454,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169
s_13,135.3499,34.7463,0.18651,0.18651,0.18651,0.18651,0.18651,0.18651,0.18651
s_130,135.2919,35.6767,0.01644,0.01644,0.01644,0.01644,0.01644,0.01644,0.01644
s_131,136.4715,35.2834,0.01635,0.01635,0.01635,0.01635,0.01635,0.01635,0.01635
s_132,134.21979999999996,35.4853,0.01624,0.01624,0.01624,0.01624,0.01624,0.01624,0.01624
s_133,136.2065,35.5398,0.01604,0.01604,0.01604,0.01604,0.01604,0.01604,0.01604
s_134,134.32280000000003,34.9848,0.01566,0.01566,0.01566,0.01566,0.01566,0.01566,0.01566
s_135,136.22789999999998,36.0444,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153,0.0153
s_136,135.586,34.216,0.01494,0.01494,0.01494,0.01494,0.01494,0.01494,0.01494
s_137,136.7568,35.4248,0.01441,0.01441,0.01441,0.01441,0.01441,0.01441,0.01441
s_138,134.54589999999996,35.1637,0.01434,0.01434,0.01434,0.01434,0.01434,0.01434,0.01434
s_139,134.20749999999998,35.3432,0.01422,0.01422,0.01422,0.01422,0.01422,0.01422,0.01422
s_14,135.39,34.9707,0.18644,0.18644,0.18644,0.18644,0.18644,0.18644,0.18644
s_140,137.53139999999996,34.7194,0.01415,0.01415,0.01415,0.01415,0.01415,0.01415,0.01415
s_141,137.2158,35.3882,0.01413,0.01413,0.01413,0.01413,0.01413,0.01413,0.01413
s_142,134.09230000000002,34.9176,0.01411,0.01411,0.01411,0.01411,0.01411,0.01411,0.01411
s_143,133.92560000000003,35.2793,0.01394,0.01394,0.01394,0.01394,0.01394,0.01394,0.01394
s_144,134.582,34.0438,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137
