STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
201209051442AALA.lis,201209051442AALA.lis,10.025,-84.214,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.139,0.314501739,0.51869669,0.204314538,0,0,0,0,0.139,0.314501739,0.51869669,0.204314538,0.131,0.160356748,0.453481024,0.15410972,0.0424,0,0,0
201209051442ACAR.lis,201209051442ACAR.lis,10.03,-84.265,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0441,0.098004298,0.104279023,0.103927959,0,0,0,0,0.0441,0.078721406,0.104279023,0.086805566,0.0316,0.098004298,0.10288026,0.103927959,0.0323,0,0,0
201209051442ACLS.lis,201209051442ACLS.lis,11.031,-84.718,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0601,0.107082974,0.278096469,0.100030769,0,0,0,0,0.0601,0.102617774,0.278096469,0.085918301,0.0422,0.107082974,0.113678455,0.100030769,0.0202,0,0,0
201209051442AFBR.lis,201209051442AFBR.lis,10.007,-84.266,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.122,0.324035868,0.339959569,0.250482942,0,0,0,0,0.104,0.222327993,0.286305234,0.250482942,0.122,0.324035868,0.339959569,0.202187369,0.0615,0,0,0
201209051442AFRA.lis,201209051442AFRA.lis,10.137,-84.193,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.361,0.959203688,0.462088108,0.2763331,0,0,0,0,0.276,0.959203688,0.299029321,0.2763331,0.361,0.731040007,0.462088108,0.244258419,0.0746,0,0,0
201209051442AMTR.lis,201209051442AMTR.lis,10.552,-84.65,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.081,0.121852561,0.168888578,0.193083256,0,0,0,0,0.0793,0.121638574,0.126872884,0.193083256,0.081,0.121852561,0.168888578,0.192985748,0.0388,0,0,0
201209051442AORT.lis,201209051442AORT.lis,9.912,-84.522,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.117,0.370283959,0.172125098,0.105116158,0,0,0,0,0.108,0.335766375,0.172125098,0.099876148,0.117,0.370283959,0.136333941,0.105116158,0.0388,0,0,0
201209051442APMR.lis,201209051442APMR.lis,10.057,-84.433,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.19,0.65781926,0.333197554,0.3663156,0,0,0,0,0.19,0.65781926,0.319730979,0.3663156,0.177,0.443422064,0.333197554,0.173426043,0.0979,0,0,0
201209051442ASCS.lis,201209051442ASCS.lis,10.324,-84.432,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.0769,0.147944264,0.173523763,0.169070651,0,0,0,0,0.0769,0.132260034,0.166603469,0.159755556,0.0625,0.147944264,0.173523763,0.169070651,0.058,0,0,0
201209051442ASRM.lis,201209051442ASRM.lis,10.087,-84.485,seismic,CRSMD_LIS_UCR_Recording_Stations.zip,0.263,0.589824769,0.449017066,0.852083674,0,0,0,0,0.263,0.444764164,0.426144571,0.839353636,0.225,0.589824769,0.449017066,0.852083674,0.0918,0,0,0
