STATION_NAME,STATION_ID,LATITUDE,LONGITUDE,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE,PGA_LN_SIGMA,STATION_TYPE,REFERENCES
Gangtok,GANG,27.35,88.62,0.152040816,0.16122449,0.16122449,0,seismic,Yadav_Kumar_2023
Siliguri,SILI,26.71,88.42,0.16122449,0.206122449,0.206122449,0,seismic,Yadav_Kumar_2023
Cooch Vihar,COVB,26.31,89.44,0.044897959,0.059183673,0.059183673,0,seismic,Yadav_Kumar_2023
Kokhrajhar,KOKJ,26.4,90.26,0.044897959,0.053061224,0.053061224,0,seismic,Yadav_Kumar_2023
Malda,MALD,25,88.14,0.023469388,0.023469388,0.023469388,0,seismic,Yadav_Kumar_2023
Raxual,RAXL,26.98,84.84,0.021428571,0.028571429,0.028571429,0,seismic,Yadav_Kumar_2023
Naugaon,NAUG,26.34,92.69,0.020408163,0.028571429,0.028571429,0,seismic,Yadav_Kumar_2023
Karimganj,KRMJ,24.87,92.35,0.004081633,0.005102041,0.005102041,0,seismic,Yadav_Kumar_2023
Sibsagar,SIBS,26.98,94.63,0.005102041,0.005102041,0.005102041,0,seismic,Yadav_Kumar_2023
Patti,PATI,29.57,80.2,0.004081633,0.004081633,0.004081633,0,seismic,Yadav_Kumar_2023
Champawat,CHAP,29.33,80.09,0.002040816,0.002040816,0.002040816,0,seismic,Yadav_Kumar_2023
Udham Singh Nagar,UDHM,28.99,79.4,0.002040816,0.002040816,0.002040816,0,seismic,Yadav_Kumar_2023
Chamoli,CHAM,30.41,79.32,0.002040816,0.002040816,0.002040816,0,seismic,Yadav_Kumar_2023
