STATION_NAME,STATION_ID,LATITUDE,LONGITUDE,PGA_VALUE_1,PGA_VALUE_2,PGA_VALUE,PGA_LN_SIGMA,STATION_TYPE,REFERENCES,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
Siliguri,SILI,26.71,88.42,0.16122449,0.206122449,0.206122449,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Gangtok,GANG,27.35,88.62,0.152040816,0.16122449,0.16122449,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Cooch Vihar,COVB,26.31,89.44,0.044897959,0.059183673,0.059183673,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Kokhrajhar,KOKJ,26.4,90.26,0.044897959,0.053061224,0.053061224,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Raxual,RAXL,26.98,84.84,0.021428571,0.028571429,0.028571429,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Naugaon,NAUG,26.34,92.69,0.020408163,0.028571429,0.028571429,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Malda,MALD,25,88.14,0.023469388,0.023469388,0.023469388,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Karimganj,KRMJ,24.87,92.35,0.004081633,0.005102041,0.005102041,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Sibsagar,SIBS,26.98,94.63,0.005102041,0.005102041,0.005102041,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Patti,PATI,29.57,80.2,0.004081633,0.004081633,0.004081633,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Champawat,CHAP,29.33,80.09,0.002040816,0.002040816,0.002040816,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Udham Singh Nagar,UDHM,28.99,79.4,0.002040816,0.002040816,0.002040816,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Chamoli,CHAM,30.41,79.32,0.002040816,0.002040816,0.002040816,0,seismic,Yadav_Kumar_2023,,,,,,,,,,,,
Gangtok,Gangtok,27.352,88.627,,,0.367346939,0,seismic,Chopra_et_al_2013,,,,,,,,,,,,
Siliguri,Siliguri,26.712,88.428,,,0.206122449,0,seismic,Chopra_et_al_2013,,,,,,,,,,,,
Cooch Bihar,Cooch Bihar,26.319,89.44,,,0.059183673,0,seismic,Chopra_et_al_2013,,,,,,,,,,,,
Malda,Malda,25,88.146,,,0.023469388,0,seismic,Chopra_et_al_2013,,,,,,,,,,,,
Pithoragarh,Pithoragarh,29.579,80.207,,,0.004081633,0,seismic,Chopra_et_al_2013,,,,,,,,,,,,
Chamoli,Chamoli,30.412,79.32,,,0.002040816,0,seismic,Chopra_et_al_2013,,,,,,,,,,,,
Champawat,Champawat,29.334,80.095,,,0.002040816,0,seismic,Chopra_et_al_2013,,,,,,,,,,,,
UTM:(45R 065 304 10000),UTM:(45R 065 304 10000),27.5198,88.5694,,,0.58309,0.8059,macroseismic,Stations_USGS,900,8.3,0.3,0.875,66.1079,1.0131,1.038012,1.0822,1.008409,1.4737,0.191469,inferred
UTM:(45R 065 302 10000),UTM:(45R 065 302 10000),27.3393,88.5669,,,0.282053,0.8059,macroseismic,Stations_USGS,900,7.2,0.3,0.875,29.6587,1.0131,0.550785,1.0822,0.431942,1.4737,0.084936,inferred
UTM:(45R 064 295 10000),UTM:(45R 064 295 10000),26.7087,88.4577,,,0.188438,0.8059,macroseismic,Stations_USGS,256.5,6.8,0.3,0.875,22.16,1.0131,0.406548,1.0822,0.345615,1.4737,0.069544,inferred
