ID_1,NAME_1,ID_2,NAME_2,LATITUDE,LONGITUDE,TAXONOMY,OCCUPANCY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,G0_NO_DAMAGE,G1_SLIGHT_DAMAGE,G2_MODERATE_DAMAGE,G3_EXTREME_DAMAGE,G4_COMPLETE_DAMAGE,DS1_SLIGHT,DS2_MODERATE,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,URM/metal roof,Residential,"MUR/HBET:1,2/RES/RME",,,66,37,88,80,95,37,88,80,95,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: 1-2 storey residential building, unrinforced masonry, metal/timber roof"
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,URM/tile roof,Residential,"MUR/HBET:1,2/RES/RMT1",,,4,3,3,7,10,3,3,7,10,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: 1-2 storey residential building, unrinforced masonry, heavy tile roof"
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,Confined masonry residential/metal roof,Residential,"MCF/HBET:1,2/RES/RME",,,912,123,438,76,28,123,438,76,28,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: 1-2 storey residential building, confined masonry, metal/timber roof"
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,Confined masonry residential/tile roof,Residential,"MCF/HBET:1,2/RES/RMT1",,,51,0,14,1,1,0,14,1,1,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: 1-2 storey residential building, confined masonry, heavy tile roof"
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,Timber frame residential,Residential,"W+WLI/HBET:1,2/RES/RME",,,187,24,32,13,8,24,32,13,8,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: 1-2 storey residential building, full timber frame+lightweight cladding, metal/timber roof"
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,RC frame residential/metal roof,Residential,"CR/LFINF/HBET:1,2/RES/RME",,,153,34,55,8,13,34,55,8,13,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: 1-2 storey residential building, RC frame with infill masonry (characterised by RC frame elements thicker than infill), metal/timber roof"
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,RC frame residential/tile roof,Residential,"CR/LFINF/HBET:1,2/RES/RMT2",,,34,11,19,3,7,11,19,3,7,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: 1-2 storey residential building, RC frame with infill masonry (characterised by RC frame elements thicker than infill, heavy tile roof"
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,C1L pre 1981,Residential and Non-Residential,"CR/LFM/HBET:1,3/YAPP:1981",,,74,47,66,6,12,47,66,6,12,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: Non residential buildings and residential, concrete moment frame 1-3 storeys, pre 1981"
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,C1L 1981-2002,Residential and Non-Residential,"CR/LFM/HBET:1,3/YBET:1981,2002",,,59,57,79,18,14,57,79,18,14,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: Non residential buildings and residential, concrete moment frame 1-3 storeys, 1981-2002"
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,C1L 2003+,Residential and Non-Residential,"CR/LFM/HBET:1,3/YAPP:2003",,,53,34,45,12,7,34,45,12,7,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: Non residential buildings and residential, concrete moment frame 1-3 storeys, 2003+"
65028918B32527116405252,West Sumatra,22746128B32115736639748,Padang,-0.9507,100.3613,C1M pre 1981,Residential and Non-Residential,"CR/LFM/HBET:4,7/YAPP:1981",,,1,0,4,4,0,0,4,4,0,,Buildings,,CEQID + Sengara_et_al_2010,"Taxonomy description: Non residential buildings and residential, concrete moment frame 4-7 storeys, pre 1981"
