FIELD,DESCRIPTION
Year,1994
Country,Colombia
Region,Cacua
Event_Name,Cacua_1994
Local_Date,06/06/1994
Local_Time,03:47:00
Latitude,2.89
Longitude,-75.95
Depth_(km),10
Mw,6.8
Max_Intensity_(MMI),IX
Fault_mechanism,Strike-Slip
Tectonic_region_type,Active Shallow Crust
Fatalities,128-1100
Injured,158-207
Displaced_Population,13000-24797
Affected_Population,12461-28569
Affected_Units,1664 Units
Damaged_Units,3160 Units
Collapsed_Units,200 Units
Economic_Losses,2.4 M USD
Insured_Losses,
Induced_Effects,"Landslides, Flood, Avalanches"
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006dv8/executive
Wikipedia page,https://en.wikipedia.org/wiki/1994_P%C3%A1ez_River_earthquake
