ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,LATITUDE,LONGITUDE,TAXONOMY,GEM_TAXONOMY,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,UNINJURED,SLIGHTLY_INJURED,MODERATELY_INJURED,SERIOUSLY_INJURED,CRITICALY_INJURED,SERIOUS_INJURIES,INJURIES_LIGHT,INJURIES_SEVERE,INJURIES_CRITICAL,HOMELESS,SHELTERED,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
65028918B95477461268927,Special Region of Yogyakarta,22746128B71285996700874,Bantul ,43725864B10239806802037,Bambang Lipuro,-7.96488,110.32,KatchaD5,M+STRUB/HBET:1/RES+RES1/RSH2,,,,9,,,,,,,,,,,,,,CEQID + Cambridge Survey ,"Complete collapse of building. Katcha is a traditional rubble stone masonry dwelling in Indonesia, typically one storey with a tiled pitched roof. "
65028918B95477461268927,Special Region of Yogyakarta,22746128B71285996700874,Bantul ,43725864B10239806802037,Bambang Lipuro,-7.96488,110.32,BrickD4,M+CL,,,,2,,,,,,,,,,,,,,CEQID + Cambridge Survey ,Heavy damage to building. Brick Masonry.
65028918B95477461268927,Special Region of Yogyakarta,22746128B71285996700874,Bantul ,43725864B10239806802037,Bambang Lipuro,-7.96488,110.32,BrickD5,M+CL,,,,1,,1,,,,,1,,,,,,,CEQID + Cambridge Survey ,Complete collapse of building. Brick Masonry.
65028918B95477461268927,Special Region of Yogyakarta,22746128B71285996700874,Bantul ,43725864B10239806802037,Bambang Lipuro,-7.96488,110.32,InfilledRCD4,CR/LFINF,,,,3,,,,,,,,,,,,,,CEQID + Cambridge Survey ,Heavy damage to building. RC Frame with masonry infill. 
65028918B95477461268927,Special Region of Yogyakarta,22746128B71285996700874,Bantul ,43725864B10239806802037,Bambang Lipuro,-7.96488,110.32,InfilledRCD5,CR/LFINF,,,,5,1,0,4,2,,1,4,2,,,,,,CEQID + Cambridge Survey ,Complete collapse of building. RC Frame with masonry infill. 
65028918B95477461268927,Special Region of Yogyakarta,22746128B71285996700874,Bantul ,43725864B10239806802037,Bambang Lipuro,-7.96488,110.32,ConBlockD5,M+CB/LWALL ,,,,3,,,,,,,,,,,,,,CEQID + Cambridge Survey ,Complete collapse of building. Concrete block walls.
65028918B95477461268927,Special Region of Yogyakarta,22746128B94539349095263,Sleman ,43725864B76107855825569,Berbah,-7.81021,110.481,KatchaD2,M+STRUB/HBET:1/RES+RES1/RSH2,,,,1,0,,,,,0,,,,,,,,CEQID + Cambridge Survey ,"Moderate damage to building. Katcha is a traditional rubble stone masonry dwelling in Indonesia, typically one storey with a tiled pitched roof. "
65028918B95477461268927,Special Region of Yogyakarta,22746128B94539349095263,Sleman ,43725864B76107855825569,Berbah,-7.81021,110.481,KatchaD3,M+STRUB/HBET:1/RES+RES1/RSH2,,,,4,1,1,,,,1,1,,,,,,,CEQID + Cambridge Survey ,"Serious damage to building. Katcha is a traditional rubble stone masonry dwelling in Indonesia, typically one storey with a tiled pitched roof. "
65028918B95477461268927,Special Region of Yogyakarta,22746128B94539349095263,Sleman ,43725864B76107855825569,Berbah,-7.81021,110.481,KatchaD4,M+STRUB/HBET:1/RES+RES1/RSH2,,,,1,1,,1,,,1,1,,,,,,,CEQID + Cambridge Survey ,"Heavy damage to building. Katcha is a traditional rubble stone masonry dwelling in Indonesia, typically one storey with a tiled pitched roof. "
65028918B95477461268927,Special Region of Yogyakarta,22746128B94539349095263,Sleman ,43725864B76107855825569,Berbah,-7.81021,110.481,KatchaD5,M+STRUB/HBET:1/RES+RES1/RSH2,,,,3,2,,,,,2,,,,,,,,CEQID + Cambridge Survey ,"Complete collapse of building. Katcha is a traditional rubble stone masonry dwelling in Indonesia, typically one storey with a tiled pitched roof. "
