# 19990907_M5.9_Athens median gmf, Stations:None, gmlt:USGS, Rupture:ESM
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,ZhaoEtAl2016Asc
t_0,23.53997000000001,35.29793,0.0014622848,0.002002467,0.002889636
t_1,23.692309999999992,35.2866,0.0011756292,0.0016999482,0.0021406838
t_10,23.77546000000001,35.34332,0.001131155,0.0016709982,0.002266599
t_100,22.21051,36.98929,0.0026229045,0.004274558,0.008918964
t_1000,22.74217999999999,39.06773,0.0042168307,0.007223824,0.016376728
t_1001,22.663420000000002,39.0729,0.0045221504,0.007475612,0.015429726
t_1002,22.58465000000001,39.07805,0.004645203,0.0074932477,0.019372182
t_1003,22.70613,39.10102,0.0041947034,0.0070601585,0.015353663
t_1004,22.627340000000004,39.10618,0.0037222086,0.006353989,0.014480078
t_1005,22.67004,39.13429,0.004076283,0.0067860303,0.014412742
t_1006,22.591229999999996,39.13944,0.0036556458,0.006157445,0.013605263
t_1007,23.058940000000007,38.70606,0.010988058,0.018461274,0.04658784
t_1008,23.142769999999985,39.10272,0.0051245354,0.008767376,0.019342097
t_1009,23.063999999999993,39.10807,0.00515175,0.008696097,0.018573357
t_101,22.358869999999996,36.91713,0.002725969,0.0044267955,0.00913996
t_1010,23.106809999999996,39.13608,0.005145997,0.008629315,0.018146418
t_1011,23.185599999999994,39.13072,0.005867338,0.009618827,0.025123317
t_1012,23.228459999999984,39.1587,0.0053895814,0.0089505315,0.018279053
t_1013,23.271330000000006,39.18667,0.0056462213,0.009182527,0.02364394
t_1014,23.235389999999995,39.22004,0.0053918776,0.008721494,0.02229504
t_1015,23.2783,39.248,0.0050546005,0.008235267,0.021606406
t_1016,23.199430000000007,39.2534,0.004657769,0.007688743,0.015759999
t_1017,23.242340000000013,39.28136,0.004983743,0.008017341,0.020418493
t_1018,23.31423000000001,39.21463,0.005306431,0.0086819995,0.022873083
t_1019,21.54316,37.74795,0.0031376537,0.0047815554,0.010998285
t_102,22.281569999999988,36.9222,0.0025229913,0.0041332813,0.008755251
t_1020,21.46526,37.75264,0.0029023862,0.00442823,0.010225524
t_1021,21.38736,37.7573,0.0027161173,0.004138639,0.009514501
t_1022,21.585080000000005,37.77651,0.0032907934,0.005018047,0.011551918
t_1023,21.507170000000002,37.78122,0.0031915985,0.004812111,0.010729353
t_1024,21.429239999999993,37.7859,0.003120351,0.0046447474,0.0099737225
t_1025,21.351319999999987,37.79055,0.0031453772,0.0045899386,0.009278914
t_1026,21.54910000000001,37.80979,0.0032448568,0.0049327775,0.011259597
t_1027,21.471149999999994,37.81449,0.0030302822,0.0045989216,0.010456293
t_1028,21.39321000000001,37.81915,0.0030582785,0.004545778,0.009718957
t_1029,21.818790000000007,37.76218,0.0041665677,0.0063581425,0.014499039
t_103,22.400689999999997,36.94562,0.0028358367,0.004625964,0.009657822
t_1030,21.74090000000001,37.76699,0.0038389135,0.0058580167,0.013428232
t_1031,21.662990000000008,37.77177,0.0033492642,0.005185022,0.012448841
t_1032,21.782880000000006,37.79551,0.003510876,0.005556516,0.014140968
t_1033,21.70496,37.8003,0.0037587995,0.005727752,0.01309319
t_1034,21.62702999999999,37.80506,0.0031756407,0.0049502314,0.012135774
t_1035,21.824880000000007,37.82401,0.003196545,0.005257669,0.011159989
t_1036,21.746939999999995,37.82882,0.0032128626,0.005165521,0.010319427
t_1037,21.66900000000001,37.8336,0.0031562396,0.004993007,0.009553331
t_1038,21.78895,37.85733,0.0030986206,0.0050995154,0.010858415
t_1039,21.591039999999992,37.83835,0.003128048,0.0048608053,0.011817481
t_104,22.32337000000001,36.9507,0.0028003533,0.0045301914,0.009250036
t_1040,21.513090000000005,37.84306,0.0035296225,0.0052189566,0.010963315
t_1041,21.435120000000012,37.84774,0.0031111932,0.004658549,0.010180487
t_1042,21.35714999999999,37.85238,0.0033573166,0.004845828,0.009462076
t_1043,21.55503999999999,37.87162,0.003415517,0.005153167,0.011495736
t_1044,21.47704999999999,37.87631,0.0037480101,0.0054270243,0.009027172
t_1045,21.399069999999995,37.88097,0.003079622,0.0045910464,0.009902993
t_1046,21.59701000000001,37.90016,0.00341669,0.005218396,0.012054769
t_1047,21.51901000000001,37.90487,0.0034192244,0.005119717,0.0111718085
t_1048,21.441000000000003,37.90955,0.0029823978,0.0045344126,0.010364389
t_1049,21.710980000000006,37.86212,0.002778891,0.0046054935,0.010039482
t_105,22.246049999999997,36.95575,0.0031477644,0.0048819934,0.011803901
t_1050,21.633010000000013,37.86689,0.0034304364,0.005273484,0.012404575
t_1051,21.830970000000008,37.88582,0.0033071907,0.0054270257,0.011427741
t_1052,21.75299000000001,37.89063,0.003157017,0.0051298826,0.010552063
t_1053,21.67500000000001,37.89541,0.0035532035,0.005483706,0.013022157
t_1054,21.795019999999994,37.91913,0.0031380982,0.0051777987,0.011092272
t_1055,21.71701999999999,37.92393,0.0034127627,0.0053912825,0.013671819
t_1056,21.63900000000001,37.92869,0.003598408,0.0054926267,0.012641567
t_1057,21.759050000000002,37.95243,0.0029310014,0.0048814286,0.010754526
t_1058,21.68101999999999,37.95721,0.0040247263,0.0060504666,0.01325737
t_1059,21.362989999999996,37.9142,0.0030039225,0.004474254,0.00962482
t_106,22.365200000000016,36.97919,0.0027237048,0.0045053847,0.009778918
t_1060,21.560990000000004,37.93342,0.0029415325,0.004632096,0.008768227
t_1061,21.48295999999999,37.93812,0.0033270812,0.004978208,0.010847219
t_1062,21.404930000000007,37.94278,0.0034247483,0.0049939007,0.010064277
t_1063,21.524940000000015,37.96667,0.0030245958,0.004691158,0.011352109
t_1064,21.446889999999996,37.97135,0.0033622163,0.0049794163,0.01052317
t_1065,21.368840000000006,37.976,0.0035457162,0.0050914707,0.008265945
t_1066,21.56693999999999,37.99521,0.0029989805,0.004717609,0.008900299
t_1067,21.48886999999999,37.99991,0.003045597,0.004677092,0.01100207
t_1068,21.410799999999995,38.00457,0.0035053126,0.005099936,0.010200797
t_1069,21.9931,37.93788,0.0038289288,0.006373929,0.013777331
t_107,22.287859999999995,36.98426,0.0028218075,0.0045685843,0.009347044
t_1070,21.915089999999992,37.94276,0.0033511454,0.0056402106,0.012664548
t_1071,21.83707000000001,37.94761,0.0031250021,0.0052340776,0.011661375
t_1072,22.035210000000006,37.96631,0.00382603,0.0064681424,0.014530754
t_1073,21.957179999999994,37.97121,0.0038369054,0.00632506,0.013335155
t_1074,21.87915000000001,37.97608,0.0032539805,0.0054689045,0.012260787
t_1075,21.999290000000002,37.99965,0.0042527057,0.006927094,0.01404265
t_1076,21.92124000000001,38.00453,0.003559691,0.0059269564,0.012891428
t_1077,21.84317999999999,38.00938,0.0031669152,0.0053103655,0.011856498
t_1078,22.041419999999988,38.02807,0.005729671,0.00879607,0.019738412
t_1079,21.602980000000002,37.96196,0.0035333328,0.005374802,0.012260243
t_108,22.407049999999998,37.00766,0.0032944637,0.0052658566,0.010344725
t_1080,21.80109999999999,37.98091,0.0030458258,0.0050900686,0.011292012
t_1081,21.723060000000004,37.98571,0.003982256,0.006077232,0.013903098
