# 20160910_M5.9_Bukoba median gmf, Stations:All, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AtkinsonBoore2006Modified2011,PezeshkEtAl2011NEHRPBC
t_0,29.46214,-4.98185,0.0034134707,0.0024797192
t_1,29.46214,-4.80285,0.0036545722,0.002657729
t_10,29.64181,-4.98185,0.0035353927,0.0025696133
t_100,29.82147,-3.05532,0.010375253,0.0063935816
t_1000,30.45029,-3.01046,0.013796596,0.008435015
t_10000,33.86389,0.67123,0.01568749,0.0059377737
t_10001,35.39102,0.5814,0.0054855947,0.0030070385
t_10002,35.93001,0.5814,0.003727195,0.0023913155
t_10003,35.57069,0.5814,0.0044351453,0.0027756365
t_10004,35.75035,0.76105,0.004081668,0.0024970514
t_10005,36.10968,0.76105,0.0033272943,0.0021678186
t_10006,35.0317,0.76105,0.0055528856,0.0036686035
t_10007,35.57069,0.76105,0.003143834,0.002692949
t_10008,35.93001,0.76105,0.0037855965,0.0023242752
t_10009,35.39102,0.76105,0.0055251773,0.002932461
t_1001,30.67487,-3.10017,0.013873362,0.008554773
t_10010,35.21136,0.76105,0.007690026,0.0032644258
t_10011,33.63931,0.08734,0.0109042,0.00841451
t_10012,33.59439,0.08734,0.011197103,0.008661334
t_10013,33.68423,0.13225,0.01046423,0.008045658
t_10014,33.63931,0.13225,0.010738689,0.008275529
t_10015,33.59439,0.13225,0.011022126,0.008513847
t_10016,33.59439,0.17717,0.010846298,0.008365983
t_10017,33.63931,0.17717,0.010572197,0.008136037
t_10018,33.68423,0.17717,0.010306506,0.0079139955
t_10019,33.68423,0.22208,0.010148081,0.007782035
t_1002,30.62995,-3.10017,0.012189256,0.008440428
t_10020,33.63931,0.22208,0.010405132,0.007996378
t_10021,33.36981,0.08734,0.012817321,0.010044681
t_10022,33.41473,0.08734,0.012471227,0.009746577
t_10023,33.3249,0.13225,0.012928606,0.010141808
t_10024,33.36981,0.13225,0.012584671,0.009844768
t_10025,33.41473,0.13225,0.012251641,0.009558612
t_10026,33.41473,0.17717,0.012032003,0.009371091
t_10027,33.36981,0.17717,0.012352259,0.009645591
t_10028,33.3249,0.17717,0.012682614,0.009930209
t_10029,33.3249,0.22208,0.014946895,0.00972015
t_1003,30.67487,-3.05532,0.01582792,0.008823877
t_10030,33.41473,0.22208,0.011812843,0.009184462
t_10031,33.77406,0.13225,0.009941138,0.007610005
t_10032,33.72914,0.17717,0.010049026,0.007699618
t_10033,33.77406,0.17717,0.009799392,0.007492529
t_10034,33.86389,0.17717,0.009322902,0.007099337
t_10035,33.81897,0.17717,0.013281595,0.007292552
t_10036,33.86389,0.22208,0.011845178,0.0069936453
t_10037,33.77406,0.22208,0.011762747,0.0073745456
t_10038,33.72914,0.22208,0.01188248,0.0075748707
t_10039,33.81897,0.22208,0.012349734,0.0071809096
t_1004,30.54012,-3.05532,0.013770373,0.008451627
t_10040,33.72914,0.267,0.013082218,0.0074498937
t_10041,33.45965,0.13225,0.011929204,0.009282875
t_10042,33.50456,0.13225,0.011617073,0.009017149
t_10043,33.50456,0.17717,0.011420715,0.008850771
t_10044,33.45965,0.17717,0.011721572,0.009106275
t_10045,33.54948,0.17717,0.011129006,0.008604085
t_10046,33.50456,0.22208,0.014065367,0.008684774
t_10047,33.54948,0.22208,0.013179852,0.008447445
t_10048,33.45965,0.22208,0.014719697,0.008930296
t_10049,33.45965,0.267,0.015240463,0.008755181
t_1005,30.58504,-3.05532,0.015942639,0.008577791
t_10050,33.54948,0.267,0.013546105,0.008291203
t_10051,33.59439,0.22208,0.013148556,0.008218109
t_10052,33.59439,0.267,0.013536836,0.00807044
t_10053,33.63931,0.267,0.010237731,0.007856756
t_10054,33.68423,0.267,0.009989178,0.0076499684
t_10055,33.59439,0.31192,0.013122914,0.007923269
t_10056,33.63931,0.31192,0.010070324,0.0077174525
t_10057,33.68423,0.31192,0.009830111,0.0075180596
t_10058,33.68423,0.35683,0.0121787395,0.007386556
t_10059,33.59439,0.35683,0.0131864855,0.007776865
t_1006,30.62995,-3.05532,0.011981261,0.008701974
t_10060,33.63931,0.35683,0.011874745,0.0075787236
t_10061,33.36981,0.22208,0.014501647,0.009447612
t_10062,33.36981,0.267,0.014827514,0.009251087
t_10063,33.3249,0.267,0.01219436,0.009511883
t_10064,33.41473,0.267,0.0115944585,0.008998978
t_10065,33.36981,0.31192,0.011661098,0.009056369
t_10066,33.3249,0.31192,0.0119528435,0.009305767
t_10067,33.41473,0.31192,0.011377259,0.008814981
t_10068,33.3249,0.35683,0.02163817,0.009102134
t_10069,33.41473,0.35683,0.013140114,0.0086327875
t_1007,30.67487,-3.01046,0.010771468,0.009104795
t_10070,33.36981,0.35683,0.011433999,0.0088637825
t_10071,33.77406,0.267,0.015888121,0.007256226
t_10072,33.81897,0.267,0.012237616,0.007068842
t_10073,33.77406,0.31192,0.0130980145,0.0071378085
t_10074,33.81897,0.31192,0.01207394,0.0069565736
t_10075,33.72914,0.31192,0.009596633,0.007324937
t_10076,33.72914,0.35683,0.011179026,0.0072002355
t_10077,33.81897,0.35683,0.01117123,0.0068443157
t_10078,33.77406,0.35683,0.010884096,0.007019515
t_10079,33.72914,0.40174,0.011943171,0.007075953
t_1008,30.54012,-3.01046,0.015321046,0.008708022
t_10080,33.77406,0.40174,0.01047299,0.0069015026
t_10081,33.50456,0.267,0.015416525,0.008519392
t_10082,33.54948,0.31192,0.01439334,0.008135662
t_10083,33.45965,0.31192,0.011101153,0.008581264
t_10084,33.50456,0.31192,0.016751235,0.008354948
t_10085,33.50456,0.35683,0.014653434,0.008191734
t_10086,33.54948,0.35683,0.01456288,0.007981109
t_10087,33.45965,0.35683,0.015896827,0.008408849
t_10088,33.45965,0.40174,0.017858239,0.0082381405
t_10089,33.54948,0.40174,0.0148846535,0.007827733
t_1009,30.62995,-3.01046,0.013233598,0.008974721
t_10090,33.50456,0.40174,0.01369021,0.008029947
t_10091,33.36981,0.40174,0.011209068,0.00867354
t_10092,33.3249,0.40174,0.011476937,0.008901199
t_10093,33.41473,0.40174,0.014992418,0.008452606
t_10094,33.36981,0.44666,0.012989103,0.008485829
t_10095,33.41473,0.44666,0.015143432,0.0082746195
t_10096,33.3249,0.44666,0.011978538,0.008703159
t_10097,33.36981,0.49157,0.014511999,0.0083009405
t_10098,33.41473,0.49157,0.01406732,0.008099105
t_10099,33.3249,0.49157,0.013699817,0.008508316
t_101,29.9113,-3.05532,0.010874412,0.006640156
t_1010,30.58504,-3.01046,0.013868689,0.008842356
t_10100,33.3249,0.53649,0.013804964,0.008316774
t_10101,33.81897,0.40174,0.011554785,0.0067322175
t_10102,33.72914,0.44666,0.013054556,0.006952239
t_10103,33.81897,0.44666,0.01124261,0.0066204164
t_10104,33.77406,0.44666,0.0099353315,0.0067839148
t_10105,33.77406,0.49157,0.010664322,0.00666696
t_10106,33.81897,0.49157,0.010804649,0.006509113
t_10107,33.72914,0.49157,0.012001705,0.006829311
t_10108,33.72914,0.53649,0.01186959,0.0067072627
t_10109,33.81897,0.53649,0.009703017,0.006398395
t_1011,30.71978,-3.05532,0.015586564,0.008943083
t_10110,33.77406,0.53649,0.012315428,0.0065507297
t_10111,33.19015,0.40174,0.016196454,0.009629949
t_10112,33.27998,0.44666,0.015163401,0.008927056
t_10113,33.19015,0.44666,0.014371306,0.009396526
t_10114,33.23507,0.44666,0.014578952,0.00915791
t_10115,33.27998,0.49157,0.0124739595,0.008721611
t_10116,33.19015,0.49157,0.01281683,0.009167546
t_10117,33.23507,0.49157,0.012253504,0.008941131
t_10118,33.19015,0.53649,0.015059772,0.008943197
t_10119,33.23507,0.53649,0.014955544,0.008728508
t_1012,30.71978,-3.01046,0.01401961,0.009232123
t_10120,33.27998,0.53649,0.01583702,0.00851988
t_10121,32.87574,0.44666,0.019890932,0.0114613725
t_10122,32.96557,0.44666,0.0142965065,0.010762081
t_10123,32.92066,0.44666,0.018106317,0.01109395
t_10124,33.01049,0.49157,0.015326541,0.010164483
t_10125,32.96557,0.49157,0.016021358,0.010447327
t_10126,32.92066,0.49157,0.01661574,0.0107510025
t_10127,32.87574,0.49157,0.018349076,0.011081525
t_10128,32.92066,0.53649,0.017397206,0.010417112
t_10129,32.87574,0.53649,0.016335072,0.010713142
t_1013,30.7647,-3.01046,0.014721783,0.009356355
t_10130,32.96557,0.53649,0.01587748,0.010140325
t_10131,33.10032,0.49157,0.018510118,0.00964453
t_10132,33.0554,0.49157,0.015924321,0.009898045
t_10133,33.0554,0.53649,0.0154421115,0.009631063
t_10134,33.14524,0.53649,0.014478392,0.009164485
t_10135,33.10032,0.53649,0.015235983,0.009393369
t_10136,33.0554,0.5814,0.015178695,0.009371162
t_10137,33.14524,0.5814,0.012959576,0.0089329565
t_10138,33.10032,0.5814,0.01600443,0.00914846
t_10139,33.14524,0.62631,0.013708587,0.008707195
t_1014,30.80962,-3.01046,0.014843494,0.00947704
t_10140,33.0554,0.62631,0.01613949,0.009118786
t_10141,33.01049,0.53649,0.016653303,0.009879244
t_10142,33.01049,0.5814,0.015585148,0.009602163
t_10143,32.96557,0.5814,0.01634238,0.009843017
t_10144,32.92066,0.5814,0.016130673,0.010095311
t_10145,32.87574,0.5814,0.017397033,0.010360884
t_10146,33.01049,0.62631,0.014654362,0.0093339225
t_10147,32.87574,0.62631,0.018338045,0.010026608
t_10148,32.92066,0.62631,0.016851427,0.009787053
t_10149,32.96557,0.62631,0.016204612,0.009556424
t_1015,30.7647,-2.96561,0.016451584,0.009667114
t_10150,32.87574,0.67123,0.021540284,0.0097103305
t_10151,33.19015,0.5814,0.012783714,0.008723827
t_10152,33.23507,0.5814,0.015933897,0.008520339
t_10153,33.27998,0.5814,0.012770715,0.008322126
t_10154,33.27998,0.62631,0.0126065295,0.008128449
t_10155,33.23507,0.62631,0.013479329,0.008316734
t_10156,33.19015,0.62631,0.013260624,0.008509576
t_10157,33.19015,0.67123,0.014164542,0.008300532
t_10158,33.27998,0.67123,0.01138141,0.007938913
t_10159,33.23507,0.67123,0.014442567,0.008117765
t_1016,30.80962,-2.96561,0.015551821,0.0097964145
t_10160,33.19015,0.71614,0.013661169,0.008096856
t_10161,33.10032,0.62631,0.015762774,0.008910094
t_10162,33.0554,0.67123,0.0141382525,0.008874151
t_10163,33.10032,0.67123,0.016096827,0.008678426
t_10164,33.14524,0.67123,0.015537677,0.00848731
t_10165,33.0554,0.71614,0.014845777,0.008637432
t_10166,33.14524,0.71614,0.014218555,0.008273473
t_10167,33.10032,0.71614,0.016863085,0.008453631
t_10168,33.10032,0.76105,0.016466176,0.008235624
t_10169,33.14524,0.76105,0.014697926,0.008065631
t_1017,30.71978,-2.96561,0.013985126,0.009534155
t_10170,33.0554,0.76105,0.014328554,0.008408482
t_10171,32.96557,0.67123,0.020090416,0.009280904
t_10172,32.92066,0.67123,0.01748588,0.009492669
t_10173,33.01049,0.67123,0.015720258,0.009074814
t_10174,32.96557,0.71614,0.01823374,0.009016498
t_10175,32.92066,0.71614,0.018211637,0.009211927
t_10176,32.87574,0.71614,0.018077288,0.0094112
t_10177,33.01049,0.71614,0.015575505,0.008824984
t_10178,32.87574,0.76105,0.018686637,0.0091276895
t_10179,33.01049,0.76105,0.01953048,0.008584173
t_1018,30.80962,-2.92075,0.015666265,0.010131157
t_10180,32.96557,0.76105,0.017074762,0.0087627405
t_10181,33.36981,0.67123,0.012862119,0.00759233
t_10182,33.36981,0.71614,0.012013874,0.007423539
t_10183,33.3249,0.71614,0.014784457,0.0075869774
t_10184,33.3249,0.76105,0.012930338,0.007414053
t_10185,33.36981,0.76105,0.01243782,0.0072582345
t_10186,33.3249,0.80596,0.01222152,0.007245025
t_10187,33.36981,0.80596,0.010935708,0.007096455
t_10188,33.3249,0.85087,0.013155067,0.007079899
t_10189,33.36981,0.85087,0.01552563,0.0069382186
t_1019,30.71978,-2.92075,0.013251236,0.009850036
