# 20160910_M5.9_Bukoba median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AtkinsonBoore2006Modified2011,PezeshkEtAl2011NEHRPBC
t_0,29.46214,-4.98185,0.0021365716,0.0015467514
t_1,29.46214,-4.80285,0.0022868768,0.001657431
t_10,29.64181,-4.98185,0.0022149738,0.0016044072
t_100,29.82147,-3.05532,0.00649393,0.0039908634
t_1000,30.45029,-3.01046,0.00868976,0.0053023356
t_10000,33.86389,0.67123,0.009766787,0.0036851373
t_10001,35.39102,0.5814,0.0033713053,0.0018429537
t_10002,35.93001,0.5814,0.002303894,0.0014728191
t_10003,35.57069,0.5814,0.00273718,0.0017072984
t_10004,35.75035,0.76105,0.0025226749,0.0015379647
t_10005,36.10968,0.76105,0.0020577307,0.0013358194
t_10006,35.0317,0.76105,0.0031140726,0.0020758426
t_10007,35.57069,0.76105,0.0019365655,0.001653861
t_10008,35.93001,0.76105,0.0023412192,0.0014323095
t_10009,35.39102,0.76105,0.0033606142,0.0017812131
t_1001,30.67487,-3.10017,0.0087591475,0.00539183
t_10010,35.21136,0.76105,0.0045116073,0.0019213646
t_10011,33.63931,0.08734,0.0067685647,0.005205883
t_10012,33.59439,0.08734,0.006952557,0.0053603984
t_10013,33.68423,0.13225,0.0064964048,0.00497845
t_10014,33.63931,0.13225,0.0066688433,0.0051223934
t_10015,33.59439,0.13225,0.006847052,0.0052717216
t_10016,33.59439,0.17717,0.0067407954,0.005182616
t_10017,33.63931,0.17717,0.006568307,0.0050384044
t_10018,33.68423,0.17717,0.006401232,0.004899239
t_10019,33.68423,0.22208,0.0063054357,0.004819679
t_1002,30.62995,-3.10017,0.007692051,0.005316803
t_10020,33.63931,0.22208,0.0064672134,0.0049541364
t_10021,33.36981,0.08734,0.007974281,0.0062291683
t_10022,33.41473,0.08734,0.0077549033,0.006041136
t_10023,33.3249,0.13225,0.008053748,0.0062974775
t_10024,33.36981,0.13225,0.007834296,0.006109092
t_10025,33.41473,0.13225,0.0076226112,0.005928135
t_10026,33.41473,0.17717,0.007490172,0.005815305
t_10027,33.36981,0.17717,0.007694305,0.005989338
t_10028,33.3249,0.17717,0.007905525,0.006170151
t_10029,33.3249,0.22208,0.009322572,0.006043437
t_1003,30.67487,-3.05532,0.009994401,0.005562377
t_10030,33.41473,0.22208,0.0073579056,0.005702921
t_10031,33.77406,0.13225,0.006168108,0.0047059283
t_10032,33.72914,0.17717,0.006239438,0.004764968
t_10033,33.77406,0.17717,0.006082686,0.0046353517
t_10034,33.86389,0.17717,0.005783794,0.0043895086
t_10035,33.81897,0.17717,0.008241887,0.004510274
t_10036,33.86389,0.22208,0.0073514255,0.004325956
t_10037,33.77406,0.22208,0.0073043057,0.00456432
t_10038,33.72914,0.22208,0.007380829,0.004689812
t_10039,33.81897,0.22208,0.007666642,0.0044431034
t_1004,30.54012,-3.05532,0.008681809,0.005318513
t_10040,33.72914,0.267,0.008129228,0.004614368
t_10041,33.45965,0.13225,0.007418436,0.005754315
t_10042,33.50456,0.13225,0.0072215106,0.0055873455
t_10043,33.50456,0.17717,0.007102737,0.0054869656
t_10044,33.45965,0.17717,0.0072930576,0.0056479312
t_10045,33.54948,0.17717,0.006918825,0.0053320252
t_10046,33.50456,0.22208,0.008751608,0.005386764
t_10047,33.54948,0.22208,0.008197331,0.005237352
t_10048,33.45965,0.22208,0.009163217,0.0055418494
t_10049,33.45965,0.267,0.009492368,0.005436217
t_1005,30.58504,-3.05532,0.010056494,0.005401005
t_10050,33.54948,0.267,0.008428748,0.0051428466
t_10051,33.59439,0.22208,0.008175065,0.005093315
t_10052,33.59439,0.267,0.008419885,0.005003962
t_10053,33.63931,0.267,0.0063657174,0.004869724
