# 20160910_M5.9_Bukoba median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarCagnan2010,ChiouYoungs2014
t_0,29.462140000000005,-4.98185,0.00026148904,0.000667992,0.0003851344
t_1,29.462140000000005,-4.80285,0.00030734856,0.0007014881,0.00046333577
t_10,29.641809999999992,-4.98185,0.00028422734,0.0006849543,0.00042373093
t_100,29.821470000000005,-3.05532,0.002296063,0.0016599745,0.004262649
t_1000,30.450289999999995,-3.01046,0.0038209383,0.0021323378,0.0072358893
t_10000,33.86389,0.67123,0.0027514345,0.0025443702,0.005219112
t_10001,35.39102,0.5814,0.00054287515,0.0010147558,0.00088010106
t_10002,35.93001000000001,0.5814,0.0002730998,0.00073736877,0.000404145
t_10003,35.57069000000001,0.5814,0.00039595124,0.0008405945,0.00061772816
t_10004,35.75035,0.76105,0.00031766685,0.0007969564,0.0004799907
t_10005,36.10968,0.76105,0.00021203369,0.0006777315,0.00030192835
t_10006,35.0317,0.76105,0.0005703575,0.0009093508,0.0009333181
t_10007,35.57069000000001,0.76105,0.00025938806,0.00059950247,0.00038393133
t_10008,35.93001000000001,0.76105,0.00026728638,0.0007550733,0.00039363268
t_10009,35.39102,0.76105,0.00051545666,0.0010198454,0.00082917156
t_1001,30.67487,-3.10017,0.0038804146,0.0021410286,0.00734644
t_10010,35.21136000000001,0.76105,0.0006885922,0.0013427342,0.0011455287
t_10011,33.639309999999995,0.08734,0.0029787875,0.0016929784,0.0054944656
t_10012,33.594390000000004,0.08734,0.0031246853,0.0017335108,0.0057695177
t_10013,33.684230000000014,0.13225,0.0027636397,0.0016322312,0.005087751
t_10014,33.639309999999995,0.13225,0.0028972444,0.0016700989,0.0053404686
t_10015,33.594390000000004,0.13225,0.0030372194,0.0017092731,0.0056046997
t_10016,33.594390000000004,0.17717,0.0029500935,0.001684948,0.005440299
t_10017,33.639309999999995,0.17717,0.0028159274,0.00164711,0.0051867138
t_10018,33.684230000000014,0.17717,0.0026877269,0.0016104922,0.0049439473
t_10019,33.684230000000014,0.22208,0.0026121533,0.0015886789,0.0048006396
t_1002,30.629950000000008,-3.10017,0.0033522279,0.0018837822,0.0062645986
t_10020,33.639309999999995,0.22208,0.0027350609,0.001624068,0.0050336323
t_10021,33.36981,0.08734,0.003966412,0.0019590736,0.0073433477
t_10022,33.41472999999999,0.08734,0.0037820693,0.0019107083,0.007000646
t_10023,33.324900000000014,0.13225,0.0040254346,0.0019744567,0.0074528344
t_10024,33.36981,0.13225,0.0038417699,0.0019264284,0.007111758
t_10025,33.41472999999999,0.13225,0.0036660018,0.0018799889,0.0067842933
t_10026,33.41472999999999,0.17717,0.003550955,0.0018493194,0.0065694065
t_10027,33.36981,0.17717,0.003718392,0.0018938836,0.0068820077
t_10028,33.324900000000014,0.17717,0.0038931093,0.0019399041,0.0072072144
t_10029,33.324900000000014,0.22208,0.004559517,0.0022900165,0.008635333
t_1003,30.67487,-3.05532,0.0044976347,0.0024349813,0.008587413
t_10030,33.41472999999999,0.22208,0.0034372336,0.0018187733,0.0063565727
t_10031,33.77405999999999,0.13225,0.002514542,0.0015602341,0.004615335
t_10032,33.72914,0.17717,0.0025652894,0.0015750611,0.0047117015
t_10033,33.77405999999999,0.17717,0.0024483341,0.00154076,0.0044895224
t_10034,33.86389,0.17717,0.002230093,0.00147542,0.0040741623
t_10035,33.81897000000001,0.17717,0.0032646332,0.0020949964,0.0061981236
t_10036,33.86389,0.22208,0.0028375345,0.0018781263,0.005341272
t_10037,33.77405999999999,0.22208,0.0029304,0.0018529266,0.0055053914
t_10038,33.72914,0.22208,0.0030211261,0.0018659084,0.0056761885
t_10039,33.81897000000001,0.22208,0.003026794,0.0019516735,0.0057173823
t_1004,30.54012,-3.05532,0.003818278,0.0021278397,0.0072287824
t_10040,33.72914,0.267,0.0033080005,0.0020582897,0.0062763738
t_10041,33.45965000000001,0.13225,0.0034979181,0.0018351012,0.0064701955
t_10042,33.50456,0.13225,0.0033372934,0.0017917254,0.0061691864
t_10043,33.50456,0.17717,0.0032372128,0.0017644429,0.005981226
t_10044,33.45965000000001,0.17717,0.0033906247,0.0018061829,0.006269221
t_10045,33.54948000000002,0.17717,0.003090424,0.0017240391,0.0057049855
t_10046,33.50456,0.22208,0.0039767805,0.0021769078,0.007547991
t_10047,33.54948000000002,0.22208,0.0036424694,0.0020454342,0.0068805357
t_10048,33.45965000000001,0.22208,0.004251571,0.0022721558,0.008089635
t_10049,33.45965000000001,0.267,0.004355435,0.0023568792,0.008320811
t_1005,30.585039999999992,-3.05532,0.0043715825,0.0024596911,0.008353354
t_10050,33.54948000000002,0.267,0.0037026193,0.0021062416,0.0070203454
t_10051,33.594390000000004,0.22208,0.003565243,0.002046329,0.0067434954
t_10052,33.594390000000004,0.267,0.0036318242,0.0021107693,0.0068940395
t_10053,33.639309999999995,0.267,0.0026547806,0.0016010054,0.0048814914
t_10054,33.684230000000014,0.267,0.0025370475,0.001566822,0.0046580806
t_10055,33.594390000000004,0.31192,0.0034682376,0.0020502824,0.006569634
t_10056,33.639309999999995,0.31192,0.002575263,0.0015779672,0.004730636
t_10057,33.684230000000014,0.31192,0.002462575,0.0015449638,0.004516594
t_10058,33.684230000000014,0.35683,0.0030446989,0.0019180696,0.0057399697
t_10059,33.594390000000004,0.35683,0.003440567,0.002064456,0.006524545
t_1006,30.629950000000008,-3.05532,0.003362768,0.0018457909,0.0062536434
t_10060,33.639309999999995,0.35683,0.0030200288,0.0018645622,0.0056736004
t_10061,33.36981,0.22208,0.0043383134,0.0022271979,0.008210523
t_10062,33.36981,0.267,0.004382214,0.0022813082,0.008324831
t_10063,33.324900000000014,0.267,0.0036342992,0.0018715634,0.006725126
t_10064,33.41472999999999,0.267,0.0033250125,0.0017883915,0.0061461423
t_10065,33.36981,0.31192,0.0033585553,0.0017974998,0.0062090834
t_10066,33.324900000000014,0.31192,0.003508245,0.001837878,0.006489526
t_10067,33.41472999999999,0.31192,0.003214518,0.0017582299,0.0059385635
t_10068,33.324900000000014,0.35683,0.0055089733,0.0033335565,0.010663654
t_10069,33.41472999999999,0.35683,0.0036835796,0.0020347012,0.006946316
t_1007,30.67487,-3.01046,0.0031053028,0.001652034,0.0056599895
t_10070,33.36981,0.35683,0.0032427425,0.00176596,0.0059916247
t_10071,33.77405999999999,0.267,0.0035770892,0.002507652,0.0068441057
t_10072,33.81897000000001,0.267,0.002962282,0.001937734,0.0055922535
t_10073,33.77405999999999,0.31192,0.0031556056,0.0020714614,0.0059844097
t_10074,33.81897000000001,0.31192,0.0028847235,0.0019156892,0.0054402035
t_10075,33.72914,0.31192,0.002354612,0.0015129262,0.0043112654
t_10076,33.72914,0.35683,0.0027268082,0.0017660708,0.005098808
t_10077,33.81897000000001,0.35683,0.0026214311,0.0017761773,0.004907599
t_10078,33.77405999999999,0.35683,0.0025997637,0.0017249295,0.0048506046
t_10079,33.72914,0.40174,0.002888016,0.0018908653,0.005439568
t_1008,30.54012,-3.01046,0.0043527666,0.002360143,0.008301759
t_10080,33.77405999999999,0.40174,0.0024632486,0.0016633682,0.004577996
t_10081,33.50456,0.267,0.0042578196,0.0023904825,0.00814243
t_10082,33.54948000000002,0.31192,0.0038880135,0.0022423768,0.0074156546
t_10083,33.45965000000001,0.31192,0.0030760514,0.0017200599,0.0056779063
t_10084,33.50456,0.31192,0.004354652,0.0026025032,0.008357533
t_10085,33.50456,0.35683,0.00395745,0.002281205,0.007553769
t_10086,33.54948000000002,0.35683,0.0038254298,0.00227343,0.0072998395
t_10087,33.45965000000001,0.35683,0.0042639063,0.0024680756,0.008165371
t_10088,33.45965000000001,0.40174,0.0044345167,0.0027784037,0.008533614
t_10089,33.54948000000002,0.40174,0.0037830472,0.0023285975,0.007225103
t_1009,30.629950000000008,-3.01046,0.0038111275,0.0020324728,0.0071556545
t_10090,33.50456,0.40174,0.0036625934,0.0021357504,0.0069608404
t_10091,33.36981,0.40174,0.0031292653,0.0017347819,0.00577815
t_10092,33.324900000000014,0.40174,0.0032638402,0.0017717275,0.0060312725
t_10093,33.41472999999999,0.40174,0.0041545792,0.0023263458,0.007936326
t_10094,33.36981,0.44666,0.0035958493,0.0020145888,0.0067801327
t_10095,33.41472999999999,0.44666,0.004075378,0.0023548617,0.0077893827
t_10096,33.324900000000014,0.44666,0.0033589727,0.0018531041,0.0062600053
t_10097,33.36981,0.49157,0.0039869547,0.0022558195,0.007605169
t_10098,33.41472999999999,0.49157,0.0037924296,0.002192439,0.007222266
t_10099,33.324900000000014,0.49157,0.0038111424,0.0021241044,0.0072241044
t_101,29.91130000000001,-3.05532,0.0024878928,0.0017305587,0.004640068
t_1010,30.585039999999992,-3.01046,0.0039657285,0.0021331299,0.007491706
t_10100,33.324900000000014,0.53649,0.0037836588,0.002145363,0.0071854806
t_10101,33.81897000000001,0.40174,0.002683572,0.0018411411,0.0050414894
t_10102,33.72914,0.44666,0.003048577,0.0020714356,0.0057762787
t_10103,33.81897000000001,0.44666,0.0025721237,0.0017954068,0.004819823
t_10104,33.77405999999999,0.44666,0.0022986736,0.0015815023,0.004247147
t_10105,33.77405999999999,0.49157,0.0024442198,0.0017014567,0.004555232
t_10106,33.81897000000001,0.49157,0.002432188,0.0017294452,0.004539965
t_10107,33.72914,0.49157,0.0028261244,0.0019087609,0.005327647
t_10108,33.72914,0.53649,0.0027542333,0.0018922328,0.0051873163
t_10109,33.81897000000001,0.53649,0.002139311,0.0015568025,0.003946701
t_1011,30.719780000000014,-3.05532,0.004525249,0.0023946734,0.008631734
t_10110,33.77405999999999,0.53649,0.0027397324,0.0019695542,0.005165803
t_10111,33.19015000000002,0.40174,0.004927224,0.0024815698,0.009406148
t_10112,33.279979999999995,0.44666,0.0043828986,0.0023399005,0.00836108
t_10113,33.19015000000002,0.44666,0.004272953,0.0022065502,0.008083337
t_10114,33.23507000000001,0.44666,0.0042706397,0.002244083,0.008105983
t_10115,33.279979999999995,0.49157,0.0035082863,0.0019291517,0.0065715085
t_10116,33.19015000000002,0.49157,0.0037277727,0.0019722416,0.00697547
t_10117,33.23507000000001,0.49157,0.0035004157,0.0018903079,0.00652701
t_10118,33.19015000000002,0.53649,0.0043517794,0.0023227744,0.008296201
t_10119,33.23507000000001,0.53649,0.004254169,0.0023124805,0.008116074
t_1012,30.719780000000014,-3.01046,0.0041267895,0.0021473845,0.0077788252
t_10120,33.279979999999995,0.53649,0.0043158643,0.0024549244,0.008262543
t_10121,32.87574000000001,0.44666,0.006501811,0.0029776238,0.012434238
t_10122,32.965570000000014,0.44666,0.004563337,0.002161867,0.008512027
t_10123,32.92066,0.44666,0.0059185736,0.002725622,0.011281007
