# 20160910_M5.9_Bukoba median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2014,AkkarCagnan2010,ChiouYoungs2014
m_0,31.805000000000007,-1.3296,0.19453736,0.14312814,0.19132271
m_1,34.99950000000001,1.0172,0.0031180242,0.0076088794,0.0034823304
m_2,32.5821,0.3483,0.026491167,0.021745384,0.02991468
m_3,32.5821,0.3121,0.024281299,0.019394405,0.027228508
t_0,29.462140000000005,-4.98185,0.00063593534,0.0023742244,0.0006060969
t_1,29.462140000000005,-4.80285,0.00074746256,0.0024932786,0.00072916
t_10,29.641809999999992,-4.98185,0.00069123344,0.002434513,0.0006668353
t_100,29.821470000000005,-3.05532,0.0055786623,0.0058999984,0.0066996333
t_1000,30.450289999999995,-3.01046,0.009275458,0.0075789057,0.011358936
t_10000,33.86389,0.67123,0.0066691493,0.009044065,0.008180056
t_10001,35.39102,0.5814,0.001332026,0.0036389984,0.0013983878
t_10002,35.93001000000001,0.5814,0.00066429836,0.0026214342,0.00063615205
t_10003,35.57069000000001,0.5814,0.00096582674,0.0029966936,0.0009752936
t_10004,35.75035,0.76105,0.00077378034,0.0028372125,0.0007566766
t_10005,36.10968,0.76105,0.0005156942,0.0024090714,0.00047519256
t_10006,35.0317,0.76105,0.0015869235,0.0036832702,0.0016994368
t_10007,35.57069000000001,0.76105,0.00063502,0.0021445043,0.0006085657
t_10008,35.93001000000001,0.76105,0.00065025117,0.002684804,0.0006197025
t_10009,35.39102,0.76105,0.001283807,0.0037107614,0.001338995
t_1001,30.67487,-3.10017,0.009420157,0.007609796,0.011533037
t_10010,35.21136000000001,0.76105,0.0018007774,0.0051241987,0.001950228
t_10011,33.639309999999995,0.08734,0.007243373,0.006017804,0.008643472
t_10012,33.594390000000004,0.08734,0.007598171,0.006162094,0.009076035
t_10013,33.684230000000014,0.13225,0.0067202537,0.005801761,0.008003883
t_10014,33.639309999999995,0.13225,0.007045141,0.0059365164,0.008401328
t_10015,33.594390000000004,0.13225,0.0073855487,0.0060759946,0.008816889
t_10016,33.594390000000004,0.17717,0.007173747,0.0059895758,0.00855839
t_10017,33.639309999999995,0.17717,0.0068474547,0.0058548343,0.008159557
t_10018,33.684230000000014,0.17717,0.006535701,0.005724514,0.007777752
t_10019,33.684230000000014,0.22208,0.0063519697,0.0056469976,0.0075523956
t_1002,30.629950000000008,-3.10017,0.008146188,0.006695472,0.00984809
t_10020,33.639309999999995,0.22208,0.006650858,0.005772956,0.007918838
t_10021,33.36981,0.08734,0.009646438,0.0069678975,0.011551816
t_10022,33.41472999999999,0.08734,0.009197541,0.006794478,0.011012529
t_10023,33.324900000000014,0.13225,0.009791334,0.0070254058,0.011724909
t_10024,33.36981,0.13225,0.00934361,0.0068522743,0.011187856
t_10025,33.41472999999999,0.13225,0.0089154905,0.0066855564,0.010672465
t_10026,33.41472999999999,0.17717,0.008635891,0.0065767625,0.010334675
t_10027,33.36981,0.17717,0.00904381,0.0067369333,0.010826745
t_10028,33.324900000000014,0.17717,0.009469862,0.0069031143,0.011338916
t_10029,33.324900000000014,0.22208,0.011074626,0.008149603,0.013561611
t_1003,30.67487,-3.05532,0.010904911,0.008654583,0.013458367
t_10030,33.41472999999999,0.22208,0.008359476,0.0064683445,0.010000081
t_10031,33.77405999999999,0.13225,0.006114567,0.005545684,0.0072609265
t_10032,33.72914,0.17717,0.006237981,0.0055984687,0.0074124974
t_10033,33.77405999999999,0.17717,0.0059536044,0.00547648,0.0070630754
t_10034,33.86389,0.17717,0.005422975,0.005244174,0.006409834
t_10035,33.81897000000001,0.17717,0.007922149,0.0074464018,0.009724985
t_10036,33.86389,0.22208,0.0068907184,0.0066755577,0.008388842
t_10037,33.77405999999999,0.22208,0.0071184193,0.006586062,0.008650241
t_10038,33.72914,0.22208,0.007339221,0.0066322875,0.008919256
t_10039,33.81897000000001,0.22208,0.0073486897,0.0069369967,0.00897679
t_1004,30.54012,-3.05532,0.009269299,0.007562918,0.0113482885
t_10040,33.72914,0.267,0.008028679,0.0073161153,0.009849775
t_10041,33.45965000000001,0.13225,0.008506322,0.0065248795,0.010178259
t_10042,33.50456,0.13225,0.008115467,0.006369937,0.00970474
t_10043,33.50456,0.17717,0.007872195,0.0062730573,0.009409229
t_10044,33.45965000000001,0.17717,0.008245538,0.0064222347,0.00986231
t_10045,33.54948000000002,0.17717,0.007515079,0.006128894,0.008974703
t_10046,33.50456,0.22208,0.009654676,0.007739591,0.011849387
t_10047,33.54948000000002,0.22208,0.00884682,0.0072715124,0.010808184
t_10048,33.45965000000001,0.22208,0.010319015,0.008079268,0.0126945255
t_10049,33.45965000000001,0.267,0.01056485,0.008380651,0.0130466595
t_1005,30.585039999999992,-3.05532,0.0105981575,0.008742408,0.0130897835
t_10050,33.54948000000002,0.267,0.008989612,0.0074877334,0.011022171
t_10051,33.594390000000004,0.22208,0.008657867,0.007274245,0.010590752
t_10052,33.594390000000004,0.267,0.008816104,0.0075033507,0.010821288
t_10053,33.639309999999995,0.267,0.0064556818,0.0056909965,0.007679591
t_10054,33.684230000000014,0.267,0.0061693713,0.005569321,0.00732821
t_10055,33.594390000000004,0.31192,0.008420675,0.0072883507,0.0103148995
