FIELD,DESCRIPTION
Year,2021
Region,North_America
Country,Mexico
Event_Name,Guerrero_2021
Local_Date,07/09/2020
Local_Time,20:47:00
Latitude,16.82
Longitude,-99.78
Depth_(km),10
Mw,7.1
Max_Intensity_(MMI),VIII
Fault_mechanism,Reverse
Tectonic_region_type,Subduction Interface
Fatalities,3-14
Injured,20-30
Displaced_Population,15000
Affected_Population,1600000
Affected_Units,
Damaged_Units,7317-12963
Collapsed_Units,
Economic_Losses,0.20-1.1 M USD
Insured_Losses,0.20 M USD
Induced_Effects,"Tsunami, Landslide"
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/us7000f93v/executive
Wikipedia page,https://en.wikipedia.org/wiki/2021_Guerrero_earthquake
